Kabupaten/Kota,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
Bogor,82,10.64,8747,15407,474.7,1.49,63.75,8,98.38,26303
Sukabumi,117,7.77,6967,13527,186.3,0.93,69.11,6.85,99.53,5987
Cianjur,147,8.41,5170,11722,246.8,1.35,69.98,6.73,99.18,10825
Bandung,72,6.98,9261,14223,258.6,0.9,63.64,8.83,99.47,28784
Garut,73,7.6,4523,11694,276.7,1.81,68.84,7.41,99.6,16645
Tasikmalaya,105,4.17,5505,12167,194.1,1.42,67.83,7.58,98.96,14623
Ciamis,6,3.75,6477,14473,94,1.07,68.47,7.84,98.63,17616
Kuningan,60,9.81,6777,14226,140.3,2.14,61.8,7.62,98.03,10243
Cirebon,58,8.11,5667,16240,266.1,2.27,65.53,6.97,94.81,36607
Majalengka,17,4.16,6509,14423,147.1,1.55,66.21,7.08,98.16,21291
Sumedang,44,7.72,10260,14161,120.1,1.98,64.63,8.45,99.21,13645
Indramayu,26,6.49,7465,15003,225,1.72,69.08,6.12,92.34,35218
Subang,12,7.77,8833,15458,155.3,1.55,68.87,6.82,96.89,12002
Purwakarta,30,8.75,7913,18455,83.4,1.19,65.21,7.68,97.98,6773
Karawang,55,9.87,9568,16067,199.9,1.58,65.51,7.22,98.29,11746
Bekasi,356,10.31,8716,17460,201.1,0.74,65.41,9.07,97.48,9767
Bandung Barat,41,9.63,4173,13723,183.7,1.7,64.37,7.85,99.55,11957
Pangandaran,23,1.56,7379,13268,37.9,1.24,79.92,7.73,98.74,7234
Kota Bogor,62,10.78,9906,17885,79.2,1.27,64.21,10.23,99.78,7916
Kota Sukabumi,36,8.83,10384,15618,26.6,1.27,62.48,9.79,99.58,3783
Kota Bandung,245,9.55,16702,23491,109.8,0.7,69.42,10.66,99.88,40272
Kota Cirebon,8,8.42,11634,15869,31.5,1.34,65.42,9.84,98.56,7439
Kota Bekasi,0,8.81,14872,22326,137.4,0.96,65.33,11.43,99.79,18226
Kota Depok,82,7.82,14497,22791,64.4,0.42,63.35,11.15,99.42,19589
Kota Cimahi,30,10.77,10716,17158,31.2,0.67,67.22,10.83,99.84,7585
Kota Tasikmalaya,9,6.62,8124,13921,87.1,2.34,65.99,9.3,99.79,12313
Kota Banjar,7,5.53,7586,16297,12.7,1.02,63.76,8.51,99.4,6790
